book_id,similar_book_id,similarity_score,rank
19,17,0.3647,2
19,18,0.3647,3
19,64,0.3647,4
19,20,0.3639,5
19,74,0.0576,6
20,18,0.448,1
20,64,0.448,2
20,65,0.3833,3
20,17,0.3656,4
20,19,0.3639,5
20,33,0.2219,6
20,28,0.0925,7
20,2,0.0917,8
20,58,0.0611,9
20,9,0.0601,10
21,26,0.5389,1
21,22,0.4281,2
21,58,0.3647,3
21,60,0.3647,4
21,24,0.3639,5
21,59,0.3632,6
21,23,0.3625,7
21,81,0.3625,8
21,29,0.1,9
21,30,0.1,10
22,21,0.4281,1
22,26,0.3763,2
22,58,0.3656,3
22,60,0.3656,4
22,24,0.3647,5
22,59,0.3639,6
22,23,0.3632,7
22,81,0.3632,8
22,55,0.248,9
22,29,0.1,10
23,58,0.4233,1
23,60,0.3656,2
23,24,0.3647,3
23,59,0.3639,4
23,22,0.3632,5
23,81,0.3632,6
23,21,0.3625,7
23,26,0.3625,8
23,32,0.2556,9
23,56,0.1039,10
24,59,0.448,1
24,60,0.4329,2
24,58,0.3679,3
24,22,0.3647,4
24,23,0.3647,5
24,81,0.3647,6
24,21,0.3639,7
24,26,0.3639,8
24,32,0.1179,9
24,29,0.1167,10
25,52,0.4925,1
25,53,0.4888,2
25,28,0.428,3
25,27,0.3625,4
25,54,0.3625,5
25,82,0.1922,6
25,78,0.096,7
25,35,0.0924,8
25,36,0.0914,9
25,58,0.0836,10
26,21,0.5389,1
26,22,0.3763,2
26,58,0.3647,3
26,60,0.3647,4
26,24,0.3639,5
26,59,0.3632,6
26,23,0.3625,7
26,81,0.3625,8
26,29,0.1,9
26,30,0.1,10
27,54,0.4257,1
27,52,0.3656,2
27,28,0.3647,3
27,53,0.3647,4
27,25,0.3625,5
27,76,0.2881,6
27,31,0.1869,7
27,77,0.1111,8
27,29,0.0934,9
27,8,0.0576,10
28,25,0.428,1
28,52,0.3656,2
28,27,0.3647,3
28,53,0.3647,4
28,54,0.3647,5
28,58,0.0944,6
28,20,0.0925,7
28,59,0.0925,8
28,34,0.0917,9
28,17,0.0667,10
29,32,0.3679,1
29,77,0.1611,2
29,24,0.1167,3
29,59,0.1156,4
29,21,0.1,5
29,22,0.1,6
29,23,0.1,7
29,26,0.1,8
29,30,0.1,9
29,31,0.1,10
30,76,0.3656,1
30,31,0.3647,2
30,77,0.3647,3
30,21,0.1,4
30,22,0.1,5
30,23,0.1,6
30,24,0.1,7
30,26,0.1,8
30,29,0.1,9
30,32,0.1,10
31,76,0.6123,1
31,77,0.4302,2
31,30,0.3647,3
31,27,0.1869,4
31,21,0.1,5
31,22,0.1,6
31,23,0.1,7
31,24,0.1,8
31,26,0.1,9
31,29,0.1,10
32,29,0.3679,1
32,23,0.2556,2
32,58,0.1637,3
32,24,0.1179,4
32,59,0.1167,5
32,67,0.1101,6
32,21,0.1,7
32,22,0.1,8
32,26,0.1,9
32,30,0.1,10
33,35,0.4319,1
33,36,0.4302,2
33,78,0.3778,3
33,79,0.3778,4
33,34,0.3763,5
33,18,0.2247,6
33,64,0.2247,7
33,20,0.2219,8
33,65,0.1627,9
33,2,0.0903,10
34,78,0.5393,1
34,79,0.3794,2
34,33,0.3763,3
34,35,0.375,4
34,36,0.3738,5
34,46,0.1156,6
34,28,0.0917,7
34,68,0.0583,8
34,13,0.0576,9
34,6,0.0569,10
35,36,0.5125,1
35,79,0.4533,2
35,78,0.4361,3
35,33,0.4319,4
35,34,0.375,5
35,75,0.2357,6
35,39,0.1722,7
35,74,0.125,8
35,25,0.0924,9
35,52,0.0909,10
36,35,0.5125,1
36,78,0.4339,2
36,33,0.4302,3
36,79,0.3895,4
36,34,0.3738,5
36,9,0.2303,6
36,12,0.1556,7
36,25,0.0914,8
36,52,0.0903,9
36,53,0.0897,10
37,39,0.3656,1
37,38,0.3632,2
37,40,0.3632,3
37,73,0.1583,4
37,74,0.1583,5
37,75,0.1569,6
37,55,0.1,7
37,56,0.1,8
37,57,0.1,9
37,61,0.1,10
38,39,0.4239,1
38,40,0.3895,2
38,37,0.3632,3
38,73,0.2263,4
38,82,0.1576,5
38,74,0.1569,6
38,75,0.1558,7
38,81,0.1208,8
38,55,0.1,9
38,56,0.1,10
39,38,0.4239,1
39,37,0.3656,2
39,40,0.3639,3
39,74,0.2313,4
39,75,0.2132,5
39,35,0.1722,6
39,82,0.1601,7
39,79,0.1156,8
39,55,0.1,9
39,56,0.1,10
40,38,0.3895,1
40,39,0.3639,2
40,37,0.3632,3
40,73,0.2861,4
40,77,0.1083,5
40,55,0.1,6
40,56,0.1,7
40,57,0.1,8
40,61,0.1,9
40,62,0.1,10
41,43,0.4361,1
41,71,0.4302,2
41,42,0.3708,3
41,44,0.3679,4
41,72,0.3679,5
41,16,0.2417,6
41,13,0.1,7
41,14,0.1,8
41,15,0.1,9
41,9,0.0637,10
42,44,0.3857,1
42,71,0.3833,2
42,41,0.3708,3
42,43,0.3679,4
42,72,0.3667,5
42,13,0.1,6
42,14,0.1,7
42,15,0.1,8
42,16,0.1,9
42,35,0.0583,10
43,71,0.5,1
43,41,0.4361,2
43,44,0.4278,3
43,72,0.3833,4
43,42,0.3679,5
43,13,0.1147,6
43,14,0.1147,7
43,15,0.1,8
43,16,0.1,9
43,47,0.0934,10
44,71,0.4413,1
44,43,0.4278,2
44,42,0.3857,3
44,41,0.3679,4
44,72,0.3647,5
44,16,0.1156,6
44,50,0.109,7
44,70,0.109,8
44,6,0.1056,9
